Module ID,Module Name,Program,Credit Hours,Semester
CS101,Programming Fundamentals,Computer Science,3,1
CS102,Data Structures,Computer Science,4,2
CS103,Database Systems,Computer Science,3,1
CS104,Web Development,Computer Science,3,2
CS105,Software Engineering,Computer Science,4,1
ENG101,Engineering Mathematics,Engineering,4,1
ENG102,Mechanics and Materials,Engineering,3,1
ENG103,Thermodynamics,Engineering,4,2
ENG104,Circuit Analysis,Engineering,3,1
ENG105,Control Systems,Engineering,4,2
BUS101,Principles of Management,Business,3,1
BUS102,Financial Accounting,Business,4,1
BUS103,Marketing Management,Business,3,2
BUS104,Business Economics,Business,4,1
BUS105,Corporate Finance,Business,4,2
